maintenance_id,flight_id,equipment,maintenance_date,status,description
1,1,Engine,2023-11-15,Pending,"Engine check scheduled."
2,2,Avionics,2023-11-16,Completed,"Routine avionics inspection completed."
3,3,Landing Gear,2023-11-17,Pending,"Landing gear performance check."
4,4,Hydraulics,2023-11-18,Completed,"Hydraulic system maintenance completed."
5,5,Engine,2023-11-19,Pending,"Engine diagnostic test pending."
6,6,Avionics,2023-11-20,Completed,"Firmware update applied."
7,7,Landing Gear,2023-11-21,Pending,"Landing gear alignment check scheduled."
8,8,Hydraulics,2023-11-22,Completed,"Hydraulic fluid replaced."
9,9,Engine,2023-11-23,Pending,"Engine oil change pending."
10,10,Avionics,2023-11-24,Completed,"Sensor calibration completed."
11,11,Landing Gear,2023-11-25,Pending,"Landing gear wear inspection in progress."
12,12,Hydraulics,2023-11-26,Completed,"Pump check completed."
13,13,Engine,2023-11-27,Pending,"Engine performance analysis scheduled."
14,14,Avionics,2023-11-28,Completed,"System test passed."
15,15,Landing Gear,2023-11-29,Pending,"Shock absorber check pending."
16,16,Hydraulics,2023-11-30,Completed,"Leak inspection completed."
17,17,Engine,2023-12-01,Pending,"Optimal performance check pending."
18,18,Avionics,2023-12-02,Completed,"System update completed."
19,19,Landing Gear,2023-12-03,Pending,"Structural integrity test scheduled."
20,20,Hydraulics,2023-12-04,Completed,"Pressure test passed."
21,21,Engine,2023-12-05,Pending,"Engine efficiency evaluation pending."
22,22,Avionics,2023-12-06,Completed,"Diagnostics completed."
23,23,Landing Gear,2023-12-07,Pending,"Friction analysis scheduled."
24,24,Hydraulics,2023-12-08,Completed,"Component replacement completed."
25,25,Engine,2023-12-09,Pending,"Engine system check pending."
26,26,Avionics,2023-12-10,Completed,"Upgrade applied."
27,27,Landing Gear,2023-12-11,Pending,"Alignment test scheduled."
28,28,Hydraulics,2023-12-12,Completed,"System overhaul completed."
29,29,Engine,2023-12-13,Pending,"Diagnostic routine scheduled."
30,30,Avionics,2023-12-14,Completed,"Performance check passed."
31,31,Landing Gear,2023-12-15,Pending,"Inspection scheduled."
32,32,Hydraulics,2023-12-16,Completed,"Maintenance routine completed."
33,33,Engine,2023-12-17,Pending,"Fuel system check pending."
34,34,Avionics,2023-12-18,Completed,"Sensor update completed."
35,35,Landing Gear,2023-12-19,Pending,"Tire pressure check scheduled."
36,36,Hydraulics,2023-12-20,Completed,"Diagnostics completed."
37,37,Engine,2023-12-21,Pending,"Component inspection scheduled."
38,38,Avionics,2023-12-22,Completed,"Calibration completed."
39,39,Landing Gear,2023-12-23,Pending,"Load test scheduled."
40,40,Hydraulics,2023-12-24,Completed,"Fluid check passed."
41,41,Engine,2023-12-25,Pending,"Temperature analysis pending."
42,42,Avionics,2023-12-26,Completed,"System evaluation passed."
43,43,Landing Gear,2023-12-27,Pending,"Shock absorber check scheduled."
44,44,Hydraulics,2023-12-28,Completed,"Pump replacement completed."
45,45,Engine,2023-12-29,Pending,"Oil analysis pending."
46,46,Avionics,2023-12-30,Completed,"Software update applied."
47,47,Landing Gear,2023-12-31,Pending,"Wear check scheduled."
48,48,Hydraulics,2024-01-01,Completed,"Overhaul completed."
49,49,Engine,2024-01-02,Pending,"Performance evaluation pending."
50,50,Avionics,2024-01-03,Completed,"System test passed."
